nom_espece,ug,date_realisation,serie,numero_circuit,nom_circuit,nb,km,valide
Chevreuil,Mont Lozère,2018-05-02,1,3,Laubies,16,28.5,
Chevreuil,Mont Lozère,2018-05-02,1,4,ML sud,8,32.4,
Chevreuil,Mont Lozère,2018-05-03,2,1,ML nord,33,35.2,
Chevreuil,Mont Lozère,2018-05-03,2,2,ML ouest,15,37.2,
Chevreuil,Mont Lozère,2018-05-03,2,4,ML sud,9,32.4,
Chevreuil,Mont Lozère,2019-04-29,1,1,ML nord,8,35.2,
Chevreuil,Mont Lozère,2019-04-29,1,2,ML ouest,11,37.2,
Chevreuil,Mont Lozère,2019-04-29,1,3,Laubies,11,28.5,
Chevreuil,Mont Lozère,2019-04-29,1,4,ML sud,11,32.4,
Chevreuil,Mont Lozère,2019-04-30,2,1,ML nord,31,35.2,
Chevreuil,Mont Lozère,2019-04-30,2,2,ML ouest,17,37.2,
Chevreuil,Mont Lozère,2019-04-30,2,3,Laubies,14,28.5,x
Chevreuil,Mont Lozère,2019-04-30,2,4,ML sud,14,32.4,
Chevreuil,Mont Lozère,2019-05-13,3,1,ML nord,18,35.2,x
Chevreuil,Mont Lozère,2019-05-13,3,2,ML ouest,10,37.2,x
Chevreuil,Mont Lozère,2019-05-13,3,3,Laubies,7,28.5,x
Chevreuil,Mont Lozère,2019-05-13,3,4,ML sud,4,32.4,x
Chevreuil,Mont Lozère,2019-05-14,4,1,ML nord,9,35.2,x
Chevreuil,Mont Lozère,2019-05-14,4,2,ML ouest,10,37.2,x
Chevreuil,Mont Lozère,2019-05-14,4,3,Laubies,16,28.5,x
Chevreuil,Mont Lozère,2019-05-14,4,4,ML sud,4,32.4,x
Chevreuil,Méjean,2016-04-01,1,1,Mas St Chély,102,23.4,
Chevreuil,Méjean,2016-04-01,1,2,Hures La Parade,52,31,
Chevreuil,Méjean,2016-04-01,1,3,St Pierre des Trippiers,48,15,
Chevreuil,Méjean,2016-04-01,1,4,Fretma,35,38.3,
Chevreuil,Méjean,2016-04-01,1,5,Le Pradal,21,29.7,
Chevreuil,Méjean,2015-03-30,1,1,Mas St Chély,97,23.4,
Chevreuil,Méjean,2015-03-30,1,2,Hures La Parade,59,31,
Chevreuil,Méjean,2015-03-30,1,3,St Pierre des Trippiers,61,15,
Chevreuil,Méjean,2015-03-30,1,4,Fretma,27,38.3,
Chevreuil,Méjean,2015-03-30,1,5,Le Pradal,18,29.7,
Chevreuil,Méjean,2015-03-31,2,1,Mas St Chély,88,23.4,
Chevreuil,Méjean,2015-03-31,2,2,Hures La Parade,75,31,
Chevreuil,Méjean,2015-03-31,2,3,St Pierre des Trippiers,70,15,
Chevreuil,Méjean,2015-03-31,2,4,Fretma,13,38.3,
Chevreuil,Méjean,2015-03-31,2,5,Le Pradal,17,29.7,
Chevreuil,Méjean,2014-03-24,1,1,Mas St Chély,62,23.4,
Chevreuil,Méjean,2014-03-24,1,2,Hures La Parade,78,31,
Chevreuil,Méjean,2014-03-24,1,3,St Pierre des Trippiers,37,15,
Chevreuil,Méjean,2014-03-24,1,4,Fretma,42,38.3,
Chevreuil,Méjean,2014-03-24,1,5,Le Pradal,5,29.7,
Chevreuil,Méjean,2014-03-25,2,1,Mas St Chély,74,23.4,
Chevreuil,Méjean,2014-03-25,2,2,Hures La Parade,82,31,
Chevreuil,Méjean,2014-03-25,2,3,St Pierre des Trippiers,38,15,
Chevreuil,Méjean,2014-03-25,2,4,Fretma,51,38.3,
Chevreuil,Méjean,2014-03-25,2,5,Le Pradal,19,29.7,
Chevreuil,Méjean,2013-03-25,1,1,Mas St Chély,82,23.4,
Chevreuil,Méjean,2013-03-25,1,2,Hures La Parade,91,31,
Chevreuil,Méjean,2013-03-25,1,3,St Pierre des Trippiers,63,15,
Chevreuil,Méjean,2013-03-25,1,4,Fretma,42,38.3,
Chevreuil,Méjean,2013-03-25,1,5,Le Pradal,26,29.7,
Chevreuil,Méjean,2013-03-26,2,1,Mas St Chély,96,23.4,
Chevreuil,Méjean,2013-03-26,2,2,Hures La Parade,92,31,
Chevreuil,Méjean,2013-03-26,2,3,St Pierre des Trippiers,89,15,
Chevreuil,Méjean,2013-03-26,2,4,Fretma,13,38.3,
Chevreuil,Méjean,2013-03-26,2,5,Le Pradal,15,29.7,
Chevreuil,Méjean,2012-03-28,1,1,Mas St Chély,87,23.4,
Chevreuil,Méjean,2012-03-28,1,2,Hures La Parade,67,31,
Chevreuil,Méjean,2012-03-28,1,3,St Pierre des Trippiers,51,15,
Chevreuil,Méjean,2012-03-28,1,4,Fretma,45,38.3,
Chevreuil,Méjean,2012-03-28,1,5,Le Pradal,31,29.7,
Chevreuil,Méjean,2012-03-29,2,1,Mas St Chély,71,23.4,
Chevreuil,Méjean,2012-03-29,2,2,Hures La Parade,55,31,
Chevreuil,Méjean,2012-03-29,2,3,St Pierre des Trippiers,35,15,
Chevreuil,Méjean,2012-03-29,2,4,Fretma,34,38.3,
Chevreuil,Méjean,2012-03-29,2,5,Le Pradal,23,29.7,
Chevreuil,Méjean,2012-04-04,3,4,Fretma,26,38.3,x
Chevreuil,Méjean,2012-04-04,3,5,Le Pradal,18,29.7,x
Chevreuil,Méjean,2012-04-05,4,4,Fretma,27,38.3,x
Chevreuil,Méjean,2012-04-05,4,5,Le Pradal,14,29.7,x
Chevreuil,Vallées cévenoles,2018-05-02,1,1,Bougès,9,33,
Chevreuil,Vallées cévenoles,2018-05-03,2,1,Bougès,10,33,
Chevreuil,Vallées cévenoles,2018-05-16,3,1,Bougès,11,33,
Chevreuil,Vallées cévenoles,2018-05-17,4,1,Bougès,16,33,
Chevreuil,Vallées cévenoles,2019-04-29,1,1,Bougès-2,14,32.5,
Chevreuil,Vallées cévenoles,2019-04-30,2,1,Bougès-2,12,32.5,
Chevreuil,Vallées cévenoles,2019-05-13,3,1,Bougès-2,15,32.5,
Chevreuil,Vallées cévenoles,2019-05-14,4,1,Bougès-2,11,32.5,
Lièvre,Méjean,2019-04-01,1,1,Mas St Chély,56,23.4,
Lièvre,Méjean,2019-04-01,1,2,Hures La Parade,33,31,
Lièvre,Méjean,2019-04-01,1,3,St Pierre des Trippiers,64,15,
Lièvre,Méjean,2019-04-01,1,4,Fretma,30,38.3,
Lièvre,Méjean,2019-04-01,1,5,Le Pradal,29,29.7,
Lièvre,Méjean,2019-04-02,2,1,Mas St Chély,30,23.4,
Lièvre,Méjean,2019-04-02,2,2,Hures La Parade,22,31,
Lièvre,Méjean,2019-04-02,2,3,St Pierre des Trippiers,59,15,
Lièvre,Méjean,2019-04-02,2,4,Fretma,14,38.3,
Lièvre,Méjean,2019-04-02,2,5,Le Pradal,36,29.7,
Lièvre,Méjean,2019-04-15,3,4,Fretma,54,38.3,x
Lièvre,Méjean,2019-04-15,3,5,Le Pradal,33,29.7,x
Lièvre,Méjean,2017-03-27,1,1,Mas St Chély,46,23.4,
Lièvre,Méjean,2017-03-27,1,2,Hures La Parade,24,31,
Lièvre,Méjean,2017-03-27,1,3,St Pierre des Trippiers,85,15,
Lièvre,Méjean,2017-03-27,1,4,Fretma,28,38.3,
Lièvre,Méjean,2017-03-27,1,5,Le Pradal,31,29.7,
Lièvre,Méjean,2017-03-28,2,1,Mas St Chély,40,23.4,
Lièvre,Méjean,2017-03-28,2,2,Hures La Parade,24,31,
